stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
890209,,Dean St,,-19.260971,146.819458,,,0,
890215,,Palmer St,,-19.260281,146.820786,,,0,
890217,,Walker St,,-19.259165,146.814316,,,0,
890218,,Flinders St West,,-19.262003,146.815109,,,0,
890219,,Blackwood St,,-19.263283,146.814011,,,0,
890220,,Fletcher St,,-19.266277,146.810867,,,0,
890221,,Knapp St,,-19.267649,146.808594,,,0,
890222,,Pridmore St,,-19.268391,146.800964,,,0,
890223,,Echlin St (West End),,-19.26779,146.795395,,,0,
890224,,Park St,,-19.2817,146.789444,,,0,
890225,,Gladstone St,,-19.283165,146.789017,,,0,
890226,,Derby St,,-19.285225,146.788773,,,0,
890227,,Albury St,,-19.287226,146.788544,,,0,
890228,,Mater Hospital,,-19.289024,146.78833,,,0,
890229,,Diprose St,,-19.289339,146.786316,,,0,
890230,,Pimlico State High School,,-19.289099,146.784027,,,0,
890231,,Barrier Reef Institute of TAFE,,-19.28875,146.780502,,,0,
890232,,Armit St,,-19.288448,146.777588,,,0,
890233,,Pearson St,,-19.288164,146.774857,,,0,
890235,,Raynor St,,-19.295696,146.761581,,,0,
890236,,Arunta St,,-19.293358,146.761856,,,0,
890237,,Illoura St,,-19.292847,146.761261,,,0,
890238,,Brampton Ave,,-19.293432,146.758667,,,0,
890239,,Lindeman Ave,,-19.294159,146.755585,,,0,
890240,,Cordelia Ave,,-19.295029,146.753662,,,0,
890241,,Fitzroy St,,-19.296057,146.752121,,,0,
890242,,Western Lions Park,,-19.297113,146.750534,,,0,
890243,,Ellimatta Ave,,-19.298994,146.749222,,,0,
890244,,Lerida St,,-19.301531,146.747681,,,0,
890245,,Tapiolas Ave,,-19.303776,146.746338,,,0,
890246,,Sabadell St,,-19.304895,146.744415,,,0,
890247,,Saderra Ct,,-19.304693,146.742157,,,0,
890248,,Parkside Plaza,,-19.303833,146.740738,,,0,
890249,,Catalonia St,,-19.301191,146.741013,,,0,
890250,,McBride St,,-19.295452,146.742828,,,0,
890251,,Mount View Park,,-19.293695,146.741501,,,0,
890252,,Castlemaine St,,-19.300318,146.736099,,,0,
890253,,Thuringowa / Charles,,-19.305399,146.734146,,,0,
890254,,Thuringowa State High (Thuringowa Dr),,-19.308582,146.732361,,,0,
890255,,Ridley St,,-19.311878,146.730164,,,0,
890256,,Kirwan (Golf Links Dr),,-19.318277,146.709106,,,0,
890257,,Gardenia Ave,,-19.307869,146.713577,,,0,
890258,,Golf Links / Sandstone,,-19.305349,146.717453,,,0,
890259,,Thuringowa / Mill,,-19.293331,146.737732,,,0,
890260,,McBride St,,-19.295485,146.743088,,,0,
890261,,Luxton St,,-19.297592,146.742004,,,0,
890262,,Catalonia St,,-19.300987,146.741302,,,0,
890263,,Parkside Plaza,,-19.303471,146.741058,,,0,
890264,,Saderra Ct,,-19.304569,146.741882,,,0,
890265,,Sabadell St,,-19.304781,146.744202,,,0,
890266,,Tapiolas Ave,,-19.303705,146.746277,,,0,
890267,,Lerida St,,-19.301773,146.747437,,,0,
890268,,Ellimatta Ave,,-19.29895,146.74913,,,0,
890269,,Western Lions Park,,-19.296812,146.750809,,,0,
890270,,Fitzroy St,,-19.295858,146.752243,,,0,
890271,,Cordelia Ave,,-19.29451,146.754272,,,0,
890272,,Lindeman Ave,,-19.293867,146.756454,,,0,
890273,,Brampton Ave,,-19.293104,146.75972,,,0,
890275,,Pearson St,,-19.288048,146.775497,,,0,
890276,,Armit St,,-19.288227,146.777237,,,0,
890277,,Barrier Reef Institute of TAFE,,-19.288578,146.780701,,,0,
890278,,Pimlico State High School,,-19.288761,146.78244,,,0,
890279,,Mater Hospital,,-19.289145,146.788254,,,0,
890280,,Derby St,,-19.284893,146.788712,,,0,
890281,,Echlin St (West End),,-19.26778,146.796417,,,0,
890282,,Pridmore St,,-19.268242,146.800735,,,0,
890283,,Walker St,,-19.259256,146.814011,,,0,
890285,,Railway Ave,,-19.272461,146.81546,,,0,
890286,,Queens Rd (Railway Crossing),,-19.278126,146.814758,,,0,
890287,,First Ave,,-19.278517,146.812759,,,0,
890288,,Ahearne St,,-19.280836,146.807892,,,0,
890289,,Bicentennial Park,,-19.282907,146.805435,,,0,
890290,,Clayton St,,-19.285145,146.802856,,,0,
890291,,Halloran St,,-19.289234,146.79808,,,0,
890292,,Rising Sun,,-19.291956,146.79512,,,0,
890293,,Sweet St,,-19.295511,146.797241,,,0,
890294,,Benson St,,-19.297386,146.798325,,,0,
890295,,Touch St,,-19.30048,146.80011,,,0,
890296,,Viles St,,-19.302559,146.8013,,,0,
890297,,Stuart / Watt (Wulguru),,-19.318531,146.814148,,,0,
890298,,Marconi St,,-19.323574,146.818466,,,0,
890299,,Royal St,,-19.326666,146.821136,,,0,
890300,,Culgoa St,,-19.328529,146.822754,,,0,
890301,,Diamantina St,,-19.331387,146.82518,,,0,
890302,,Dunk St,,-19.334108,146.827621,,,0,
890303,,Stuart,,-19.341036,146.83284,,,0,
890304,,Roe St,,-19.34444,146.834229,,,0,
890305,,Gully St,,-19.346199,146.834808,,,0,
890306,,Southwood Rd (Stuart),,-19.347612,146.850266,,,0,
890307,,Pretoria St,,-19.347336,146.84726,,,0,
890308,,Mafeking St,,-19.346846,146.842422,,,0,
890309,,Gully St,,-19.346262,146.834702,,,0,
890310,,Roe St,,-19.344553,146.834122,,,0,
890311,,Stuart,,-19.341024,146.832703,,,0,
890312,,Diamantina St,,-19.331097,146.8246,,,0,
890313,,Culgoa St,,-19.328211,146.822159,,,0,
890314,,Royal St,,-19.326654,146.820831,,,0,
890315,,Wright St,,-19.325169,146.819122,,,0,
890317,,Townsville Grammar,,-19.316738,146.792618,,,0,
890318,,Annandale Shopping Centre,,-19.316582,146.791153,,,0,
890319,,Wave Hill Dr,,-19.314577,146.790344,,,0,
890320,,Indigo Cr,,-19.311228,146.78389,,,0,
890321,,Boronia Dr,,-19.308367,146.783478,,,0,
890322,,Annandale Dr,,-19.307735,146.782547,,,0,
890323,,Jonquil Cr,,-19.309769,146.779892,,,0,
890324,,Larkspur Cr,,-19.311655,146.778275,,,0,
890325,,River Park Dr,,-19.313177,146.776199,,,0,
890326,,Cypress Dr,,-19.31423,146.774719,,,0,
890327,,Yolanda Dr Shops,,-19.314289,146.771744,,,0,
890328,,Fardon St,,-19.31492,146.768372,,,0,
890329,,Marabou Dr,,-19.316132,146.765945,,,0,
890330,,Ronan St,,-19.286421,146.763977,,,0,
890331,,Palmerston / Cambridge,,-19.279556,146.769363,,,0,
890332,,McDougall St,,-19.280594,146.77948,,,0,
890333,,Gill Park,,-19.281044,146.783844,,,0,
890334,,Pegnall St,,-19.281439,146.78772,,,0,
890335,,Fairley Street,,-19.276735,146.794479,,,0,
890336,,Sussex Street,,-19.276976,146.796906,,,0,
890337,,Mater Womens and Childrens Hospital,,-19.277224,146.799362,,,0,
890338,,Oxford St,,-19.276184,146.800598,,,0,
890339,,Somer St,,-19.274439,146.801971,,,0,
890340,,Yeatman St,,-19.273048,146.803406,,,0,
890341,,Townsville Station,,-19.268543,146.806717,,,0,
890342,,Knapp St,,-19.267456,146.808517,,,0,
890343,,Fletcher St,,-19.266422,146.810257,,,0,
890344,,Blackwood St,,-19.263382,146.81369,,,0,
890345,,Townsville City,,-19.260891,146.814789,,,0,
890346,,Townsville Station,,-19.268707,146.806839,,,0,
890347,,Yeatman St,,-19.273033,146.803848,,,0,
890348,,Somer St,,-19.275133,146.801666,,,0,
890349,,Mater Womens and Childrens Hospital,,-19.277321,146.798813,,,0,
890350,,Sussex St,,-19.277006,146.795746,,,0,
890351,,Gill Park,,-19.281195,146.784424,,,0,
890352,,McDougall St,,-19.280634,146.778946,,,0,
890354,,Palmerston / Cambridge,,-19.279743,146.768372,,,0,
890355,,Ronan St,,-19.286442,146.764206,,,0,
890356,,Marabou Dr,,-19.316217,146.765488,,,0,
890357,,Fardon St,,-19.31459,146.768845,,,0,
890358,,Yolanda Dr Shops,,-19.314188,146.771774,,,0,
890359,,Cypress Dr,,-19.314116,146.774643,,,0,
890360,,River Park Dr,,-19.312952,146.776978,,,0,
890361,,Larkspur Cr,,-19.311022,146.778519,,,0,
890362,,Jonquil Cr,,-19.30938,146.780167,,,0,
890363,,Annandale Dr,,-19.307793,146.782104,,,0,
890364,,Boronia Dr,,-19.308479,146.7836,,,0,
890365,,South Townsville State Sch,,-19.264023,146.826553,,,0,
890366,,Nelson St,,-19.265528,146.829956,,,0,
890367,,Hubert St,,-19.268225,146.829407,,,0,
890368,,Bell St,,-19.269131,146.826355,,,0,
890369,,Twelfth Ave,,-19.270321,146.820541,,,0,
890370,,Tenth Ave,,-19.270851,146.81778,,,0,
890372,,Tenth Ave,,-19.277855,146.818146,,,0,
890376,,Shannon St (Oonoonba Park),,-19.294104,146.817062,,,0,
890378,,McAlister St,,-19.298122,146.820206,,,0,
890379,,McPherson St,,-19.304186,146.820282,,,0,
890381,,Stephenson St,,-19.327026,146.808731,,,0,
890382,,Florey St,,-19.328056,146.808578,,,0,
890383,,Kepler St,,-19.328417,146.811203,,,0,
890384,,Haldane St,,-19.327625,146.81395,,,0,
890385,,Faraday St,,-19.3274,146.816101,,,0,
890386,,Wright St,,-19.325048,146.819168,,,0,
890387,,Marconi St,,-19.32378,146.818298,,,0,
890388,,Edison St,,-19.320732,146.815796,,,0,
890389,,Stuart / Watt (Wulguru),,-19.318966,146.81427,,,0,
890391,,Townsville Grammar,,-19.31671,146.792755,,,0,
890392,,Heatley State School,,-19.293354,146.748322,,,0,
890393,,Joyce St,,-19.29385,146.744354,,,0,
890394,,Cavill Ave,,-19.289688,146.736679,,,0,
890395,,Wheeler Cct,,-19.295418,146.734039,,,0,
890396,,Tottenham Ct,,-19.300573,146.727875,,,0,
890397,,Sandstone Dr,,-19.308781,146.723434,,,0,
890398,,Morindo Dr,,-19.312254,146.722855,,,0,
890399,,Morindo Dr,,-19.312424,146.722733,,,0,
890400,,Tottenham Ct,,-19.300045,146.728409,,,0,
890401,,Cavill Ave,,-19.289787,146.738892,,,0,
890402,,Joyce St,,-19.293713,146.744446,,,0,
890403,,Indigo Cr,,-19.311638,146.784027,,,0,
890404,,Wave Hill Dr,,-19.314463,146.790329,,,0,
890405,,Murray Sporting Complex,,-19.312981,146.801056,,,0,
890406,,Oonoonba Rd,,-19.302803,146.813812,,,0,
890407,,McPherson St,,-19.304098,146.820175,,,0,
890408,,Shannon St (Oonoonba Park),,-19.294146,146.817093,,,0,
890412,,Tenth Ave,,-19.277929,146.8181,,,0,
890414,,Twelfth Ave,,-19.270109,146.820465,,,0,
890415,,Bell St,,-19.268911,146.82666,,,0,
890416,,Hubert St,,-19.267979,146.82933,,,0,
890417,,Nelson St,,-19.265202,146.829041,,,0,
890418,,South Townsville State Sch,,-19.263636,146.825577,,,0,
890419,,Davidson St,,-19.26265,146.823456,,,0,
890420,,Kokoda St (Murray Sporting Complex),,-19.306824,146.803391,,,0,
890421,,Viles St,,-19.301849,146.800598,,,0,
890422,,Touch St,,-19.300543,146.79985,,,0,
890423,,Benson St,,-19.297516,146.798111,,,0,
890424,,Sweet St,,-19.295967,146.797211,,,0,
890425,,Bowen Rd,,-19.292662,146.795929,,,0,
890426,,Halloran St,,-19.289103,146.797989,,,0,
