service_id,date,exception_type
GOOGLE-MAHV_MUL-Weekday-03,20131113,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131113,2
GOOGLE-MAHV_MUL-Weekday-03,20131114,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131114,2
GOOGLE-MAHV_MUL-Weekday-03,20131115,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131115,2
GOOGLE-MAHV_MUL-Weekday-03,20131118,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131118,2
GOOGLE-MAHV_MUL-Weekday-03,20131119,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131119,2
GOOGLE-MAHV_MUL-Weekday-03,20131120,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131120,2
GOOGLE-MAHV_MUL-Weekday-03,20131121,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131121,2
GOOGLE-MAHV_MUL-Weekday-03,20131122,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131122,2
GOOGLE-MAHV_MUL-Weekday-03,20131125,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131125,2
GOOGLE-MAHV_MUL-Weekday-03,20131126,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131126,2
GOOGLE-MAHV_MUL-Weekday-03,20131127,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131127,2
GOOGLE-MAHV_MUL-Weekday-03,20131128,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131128,2
GOOGLE-MAHV_MUL-Weekday-03,20131129,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131129,2
GOOGLE-MAHV_MUL-Weekday-03,20131202,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131202,2
GOOGLE-MAHV_MUL-Weekday-03,20131203,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131203,2
GOOGLE-MAHV_MUL-Weekday-03,20131204,2
GOOGLE-MAHV_MUL-Weekday-03-0101000,20131204,2
